Country/Region/Group,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
Australia,468,371,410,153,125,637,451,445,534,412,113,40,571,384,548,920,714,778,460,828,240,319,60,704,885,96,81,268,1019,191,404,449,129,631,620,509,815,593,744,694,355,216,364,448,262,64,597,35,542,673,338,1236,663,801,472,461,728,679,444,778,1513,1557,867,245,906,1464,1026,1656,1557,1189,1657,42604
Austria,,,,2,,11,98,146,11,24,16,27,56,201,73,78,61,47,1,12,99,123,93,22,22,6,12,,8,72,195,73,97,145,14,29,19,7,117,84,5,6,5,9,40,24,10,182,228,48,25,15,83,43,57,25,4,269,190,286,7,8,8,6,2,1,13,8,5,15,13,3737
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,25,,,,,,3,,89,,4,53,159,213,33,145,155,557,371,385,624,335,274,290,365,44,28,4202
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,33,,,,2,3,,,,,,,,,33,,,,,3,,,,1,,,,,30,16,20,12,,,,163
Bahrain,,,,,,,,,,,,,,,,1,1,,,,,0,7,0,1,,,2,9,8,19,40,59,10,131,55,134,250,137,71,362,68,42,1,8,71,51,198,8,,299,28,54,1,10,66,63,27,21,,103,1,26,72,1,17,26,29,65,15,31,2698
Bangladesh,,,,,,,,,,,,,,,,,,,,,,10,2,76,44,39,70,62,45,1,55,62,128,109,59,81,4,1,242,301,187,79,113,44,61,119,7,27,1,186,203,281,33,8,32,10,221,88,12,,36,117,184,649,203,636,449,330,151,738,57,6647
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,1,,,,,,,,,,,,,,,,,,,,,,,10,10,10,,,,,,,,,,,,40
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,41,,,,,,6,140,,,3,,75,75,75,66,98,117,147,142,333,13,1373
Belgium,198,485,972,1098,604,361,682,680,897,179,92,132,188,569,644,507,101,35,216,233,509,489,492,580,111,128,177,180,421,786,574,522,438,583,575,294,98,106,422,218,321,134,49,77,50,17,3,53,55,58,35,29,48,21,15,3,27,174,203,90,32,21,32,46,104,56,4,7,1,9,90,18443
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,2,,,,,4
Benin,,,,,,,,,,,,2,1,,2,,1,,,,0,2,,1,,,,,26,6,,,10,3,1,3,,1,0,0,,,,,,,1,,,,,,7,,,,,3,,1,0,0,20,2,,,,,,,1,93
Bhutan,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1,1,,,,,3
Biafra,,,,,,,,,,,,,,,,,,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
Bolivia,,6,,,2,,,,26,3,6,4,2,4,2,2,1,14,17,1,2,2,12,16,23,17,16,1,11,54,39,30,2,,,18,15,,56,66,,11,25,16,9,2,,,,9,19,,,5,1,1,9,2,3,5,1,25,12,1,46,,27,7,1,34,26,767
Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,58,70,2,25,,,,,,,,,,,,,,,,,,1,,1,1,169
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,2,11,,,,4,,26,40,4,23,2,2,11,,11,32,71,2,,53,15,1,10,9,,,,,10,10,,6,9,,,5,,6,8,86,479
Brazil,,615,,133,112,379,55,152,139,129,237,212,62,128,25,150,57,218,236,110,219,181,520,599,256,539,582,554,892,406,368,64,75,91,124,88,138,233,128,746,148,178,90,58,313,248,545,474,240,365,121,631,223,110,85,223,178,188,179,155,310,306,327,223,206,217,109,94,267,153,155,17068
Brunei,,,,,,,,,,,,,,,,5,1,18,1,,5,18,2,1,15,1,0,,45,64,,8,12,85,60,,13,,,,3,3,,,,,17,32,7,5,,4,1,0,0,1,2,,,33,33,229,20,15,121,36,,,,,,917
Bulgaria,156,68,102,349,650,365,305,514,599,165,474,523,494,538,326,372,218,329,250,526,764,395,465,290,299,388,366,490,873,320,562,947,573,727,906,598,918,435,243,334,757,340,41,1,1,1,122,,,7,,,,2,13,132,22,48,116,119,8,29,5,,,3,,,,2,44,20025
Burkina Faso,,,,,,,,,,,,1,,,1,0,0,,0,1,1,1,,,,8,8,9,,,0,9,1,16,9,2,3,,12,,,2,,7,,,,,,0,,,,,,12,3,4,,2,0,15,4,,,5,7,2,23,10,2,180
Burundi,,,,,,,,,,,,,,,,,5,2,,3,,,,0,,,,,,,1,5,3,9,2,,,,,6,6,,,,,,,,,,,1,3,,,,,,,1,2,,5,,,1,3,,,2,,61
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,18,,,26,,,,,,,,,,4,,,,,,9,,1,,,,,,,,,2,,,10,,,,,,,3,,73
Cambodia,,,,,4,18,36,10,4,2,1,2,5,11,39,40,37,20,15,18,6,22,106,123,23,,,,43,,34,,,13,67,68,134,50,10,119,45,,,2,72,1,28,21,,,,,,,,,14,56,,4,34,,77,67,,,,,5,1,,1506
Cameroon,,,,,,,,,,,,0,,2,0,2,2,3,3,,,8,1,12,,,29,73,,1,,28,114,5,126,16,11,5,1,3,8,,3,,,,4,6,9,4,,7,6,,,5,2,,1,,10,,9,139,122,9,21,8,2,4,,823
Canada,264,294,998,1884,1123,1279,721,764,244,368,171,1576,1231,1045,764,563,306,237,336,516,623,455,382,80,224,195,28,28,172,235,441,452,276,649,646,848,810,787,712,37,150,751,407,198,475,408,427,362,130,198,576,538,436,152,353,118,113,480,423,101,228,336,197,202,316,408,233,331,169,176,236,32389
Central African Republic,,,,,,,,,,,,2,,,,1,2,,3,,,2,,0,,,,,0,,0,1,2,5,1,6,,,1,,,,1,,,,,,,,,,,,,,9,,0,,,7,,,,,,,2,,1,48
Chad,,,,,,,,,,,1,1,,,,0,,,,,,4,,3,9,10,8,3,,,10,,,33,9,1,22,21,9,57,,,,,3,1,,,7,7,,16,,,,,17,20,75,35,38,1,4,59,58,1,2,6,5,1,4,561
Chile,1,247,26,10,40,5,90,28,32,20,304,38,19,127,34,57,74,150,70,21,57,198,51,278,292,184,414,58,154,137,149,148,344,140,450,10,173,155,86,140,135,109,173,88,82,333,175,296,88,207,202,60,74,187,70,446,1093,655,392,329,473,326,62,54,141,144,40,50,73,33,295,11894
China,2572,2197,3430,3144,3500,1730,2255,2126,2778,3159,2431,936,307,450,395,218,233,145,182,2,2,2,2,3,3,3,3,75,86,12,7,2,15,27,73,115,17,53,106,201,303,482,1228,1239,327,739,1528,952,404,1753,2523,2816,2871,2333,3287,3492,2847,1636,1809,1404,943,1051,1569,1292,1079,1226,1137,1302,2052,1436,870,80925
Colombia,3,8,15,12,31,13,38,15,298,1,5,62,3,29,9,18,32,15,32,121,4,35,167,159,1,287,10,8,12,36,12,28,18,301,661,7,6,4,37,218,13,72,37,69,42,35,49,190,162,44,60,269,171,145,18,18,54,226,109,249,255,145,211,171,167,193,18,93,16,22,77,6170
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,6,,,,1,,,,,,,,,9
Congo,,,,,,,,,,,1,1,,0,,0,,,1,24,9,27,2,,7,2,2,,35,25,17,3,11,25,25,3,,,28,44,44,18,,,,,,27,0,1,0,,,8,7,4,1,0,,4,27,5,23,33,6,2,,,0,3,,503
Contras (Nicaragua)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
Costa Rica,,,,,,3,0,,,,,,,1,,,0,,,,,,,1,,3,,,6,2,0,,,,0,1,1,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,0,8,,31
Cote d'Ivoire,,,,,,,,,,,,3,1,1,,,2,3,19,2,7,17,1,,18,,,22,16,38,55,18,,,9,,,,,2,,,0,,,2,,0,,2,0,,31,61,9,,,,,,,,,,5,5,5,14,9,14,3,395
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27,27,53,1,15,35,,,,57,2,24,8,,,19,99,4,11,19,19,,27,11,20,13,2,5,,499
Cuba,,8,12,13,20,3,35,11,23,10,153,523,1321,284,248,130,232,162,155,155,155,162,452,420,408,200,316,609,503,410,349,964,964,770,426,352,281,73,167,94,169,159,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,11906
Cyprus,,,,,,,,,,,,,,,18,22,,,,,,,,9,,,,,,,,,5,19,23,32,38,33,122,29,70,82,26,10,39,33,170,98,7,113,4,115,1,6,16,20,26,17,,,44,41,6,,,,,30,,19,30,1372
Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,6,0,1,13,57,42,94,9,595,45,10,23,6,13,71,22,15,,0,,,7,1,12,1070
Czechoslovakia,90,247,707,1607,1008,1062,573,203,562,840,534,667,547,585,579,698,690,754,868,846,743,1100,956,1058,1087,837,213,300,560,498,468,824,898,806,920,1158,807,662,587,872,277,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29352
Darfur rebels (Sudan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,1
Denmark,96,72,361,648,165,172,159,157,114,203,139,335,57,133,482,449,66,72,71,19,312,362,111,,39,149,356,368,362,57,570,567,560,231,72,89,16,99,99,185,124,151,71,46,85,133,71,77,116,68,50,146,45,54,224,116,84,147,93,130,17,,105,38,173,42,102,52,49,43,67,11291
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,33,5,2,3,3,,1,8,1,,,,1,19,5,,2,,,,,1,,3,,4,7,,,,,,,6,5,14,1,10,,,8,1,152
Dominican Republic,2,11,43,21,2,6,7,1,17,4,19,11,0,7,5,10,9,1,1,0,1,2,7,0,,2,12,,,,9,5,31,,25,2,0,,3,,,,,,,,4,,6,1,13,5,0,8,35,2,,,,10,50,12,,,,1,0,,,,4,430
DR Congo,,,,,,,,,,,2,9,13,32,83,31,26,16,7,28,19,155,15,5,9,379,131,31,38,15,10,12,15,5,16,1,1,36,1,,4,,2,,,0,61,6,10,46,88,12,19,,,26,24,,18,37,151,,10,1,,2,43,,1,,6,1708
East Germany (GDR),29,,178,92,10,,678,1122,1064,490,306,227,791,789,1054,922,1338,1181,1256,833,849,575,974,1028,973,580,1301,1083,1082,909,902,782,1071,925,1106,1361,654,362,598,674,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30551
Ecuador,,,,10,14,124,6,,13,,66,,,3,3,29,9,21,5,1,5,81,35,15,22,40,224,570,191,110,296,152,262,403,360,23,25,40,26,20,3,136,4,18,9,36,29,95,27,16,,10,1,,15,47,47,2,102,77,89,68,88,11,53,27,26,20,5,3,21,4288
Egypt,152,46,0,1,133,755,1160,996,391,263,143,544,686,737,843,950,1533,2238,1269,1235,1681,1984,3263,2556,1077,565,159,410,135,630,1001,1176,2489,1692,1512,969,1484,1648,422,295,562,884,970,1254,2017,1715,981,1037,480,514,832,827,715,630,654,797,722,690,333,159,686,630,281,673,427,1443,1687,2388,1680,1039,1323,68253
ELF (Ethiopia)*,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
El Salvador,0,,,,1,1,,17,,,,,,0,,1,1,0,20,3,9,1,,1,29,46,15,10,3,11,12,5,32,15,60,41,5,,,,,21,4,2,,4,4,,2,,,,19,10,,,,,3,,,,2,,20,,,1,1,2,4,439
EPLF (Ethiopia)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,5,,,,,,,,,,,,,,,,,3,,7,,,7,11,7,28,30,68,3,57,65,2,92,,,,7,,,395
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,18,7,41,53,214,31,20,57,18,17,80,98,,4,,,,,,,,,,,,,,678
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,15,17,1,12,4,1,27,,1,13,8,20,7,19,29,43,13,1,2,18,2,18,29,33,17,54,23,432
eSwatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,2,10
Ethiopia,2,19,,6,8,1,1,16,23,6,24,4,21,27,4,14,99,31,34,24,89,54,33,5,16,58,135,1107,965,113,330,328,516,353,273,247,348,239,155,47,2,80,,,,,,69,211,155,140,,20,174,239,,,,,,54,76,193,153,33,10,55,51,12,74,24,7601
FAN (Chad)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,,,,,,,,,,,,,,1,,3,,6,12,,,,,,,,,,,,,,,,,,,,,,1,,,7,42
Finland,,,19,,,11,15,3,25,41,54,65,38,237,77,81,42,76,23,21,15,5,26,13,172,127,90,30,105,47,328,119,132,112,126,203,97,69,143,85,90,65,442,407,248,197,553,398,562,770,474,9,17,242,67,92,131,141,135,42,52,58,77,296,198,293,160,50,101,93,63,9392
FMLN (El Salvador)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
FNLA (Angola)*,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
France,180,997,1180,1663,1669,1603,1546,738,1113,802,529,325,122,162,1300,378,106,93,113,54,34,47,28,51,46,45,196,204,241,107,70,101,137,103,68,15,96,84,137,107,60,945,420,91,75,100,66,226,174,110,104,66,43,57,93,2,67,74,5,76,106,48,90,107,17,49,52,76,183,99,215,20484
FRELIMO (Portugal)*,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Gabon,,,,,,,,,,,,3,,,3,0,2,,2,4,1,24,,2,10,35,48,28,77,,26,37,5,11,98,2,7,10,28,10,29,,,,,,,,,,,,,,6,,20,18,,,22,5,1,2,,5,3,,,25,,607
Gambia,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,3,,,,,,,,12,,,,,,,,,,,,,,,5,,,,,16,,,,,,,,,,,,36
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,28,23,6,85,,1,37,92,97,161,132,38,,2,,5,1,,,7,43,6,,772
Germany,,,,,,85,1356,2270,2798,1523,2033,2018,2457,3283,3710,3323,3211,1336,1198,1223,1387,2384,838,1742,2132,1835,1387,1042,691,65,150,261,453,434,412,130,310,320,429,707,716,695,685,535,423,228,246,60,543,129,113,133,71,64,238,199,409,75,285,339,282,84,131,113,95,96,55,43,14,38,52,56119
Ghana,,,,,,,,,,1,12,107,20,6,40,40,24,1,,,,,12,8,19,28,39,,18,7,38,50,,,,5,,13,,2,4,1,,,11,,7,5,,7,1,12,1,6,35,0,0,16,,11,2,76,39,50,14,13,22,,0,2,6,833
Greece,97,500,307,85,152,203,92,354,475,314,264,82,330,98,631,488,213,376,107,305,304,588,695,246,418,922,1298,987,1290,740,675,968,462,401,366,189,202,36,526,1220,907,487,2128,898,1216,871,380,807,1719,842,708,788,403,2170,1106,411,721,1712,483,1224,630,70,18,28,204,728,302,51,38,93,101,40252
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Guatemala,,6,,,2,8,6,,,5,16,,1,7,8,5,,1,16,1,,46,1,0,15,47,15,1,1,5,8,48,16,1,7,25,2,0,0,4,0,0,,13,4,4,2,,1,,,,,,,,,,0,,,,2,,,33,,,4,14,,403
Guinea,,,,,,,,,,18,33,0,,0,0,17,,6,,0,1,4,4,18,24,2,18,8,45,69,,1,1,1,,,39,,,40,1,1,,,,,,,4,,18,6,,2,,1,,0,,,5,1,4,,6,,,2,1,4,,404
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,21,10,12,,14,24,2,1,,,11,,35,,20,,20,6,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,181
GUNT (Chad)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
Guyana,,,,,,,,,,,,,,,,,,,0,,,2,,,2,0,15,5,1,5,4,14,,3,7,23,,,,,,,,,,,,,,,,7,2,,,,,,0,,,,,,,,,,0,2,,93
Haiti,4,,3,,,,6,1,,,6,,,,1,,,,,8,,,,3,4,1,1,0,9,,,3,4,3,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66
Haiti rebels*,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
Hamas (Palestine)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,0,,,,,,,3
Hezbollah (Lebanon)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,2,0,0,0,0,0,3,0,1,0,9,,,20,20,,,,,,,,,,,65
Honduras,,1,2,,1,,9,1,12,1,,,14,,,1,6,,,19,,,,2,,31,30,25,29,9,13,27,30,33,25,36,76,13,44,17,,,,,,,,,,,,,,,,,,,0,,,0,0,20,13,8,,10,1,23,0,581
Houthi rebels (Yemen)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,20
Hungary,56,53,13,802,699,222,1,59,259,331,599,575,292,379,747,667,150,290,271,447,22,237,121,393,554,495,378,394,586,485,384,143,142,117,251,229,79,80,35,59,14,22,,935,2,1,156,99,46,72,14,14,,,72,13,253,196,5,4,18,9,,2,7,,14,6,27,16,57,14164
Iceland,,,,,,,,,,,20,,,,,,,,27,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,123
India,141,277,104,430,265,350,366,980,954,855,544,1122,371,647,920,1049,994,1265,1655,1518,872,1870,1818,1336,1301,1106,1932,2389,1201,1199,1768,2123,2275,2656,2782,3001,4266,3930,3857,3694,2856,1885,1186,737,884,1401,844,1666,753,1211,983,1193,2022,2741,2215,1200,1485,2275,1858,1864,2912,3599,4393,5382,3380,3149,3038,2980,1705,3444,2813,128232
Indonesia,195,58,14,6,16,25,42,30,624,647,441,752,993,180,518,330,16,1,0,9,27,92,5,73,73,4,156,60,126,376,910,796,360,228,100,289,432,264,291,248,202,11,52,214,471,285,379,105,88,164,150,26,68,358,79,37,65,580,243,442,225,249,212,823,1190,438,380,1169,339,212,269,19333
Indonesia rebels*,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Iran,4,6,0,1,11,30,41,36,160,109,84,107,127,137,141,171,407,330,763,1305,1237,1768,1449,2060,2854,5168,4459,5566,3743,536,278,487,541,509,474,548,803,833,478,193,454,1025,432,987,448,292,613,176,379,321,416,522,433,280,119,55,421,329,60,95,95,94,40,13,13,13,413,3,3,3,2,46500
Iraq,,,59,53,19,61,105,38,186,170,168,118,278,201,321,248,341,345,368,405,154,187,624,1846,1425,1103,1136,1050,1782,1359,2241,2574,3257,3365,4526,3954,3376,3459,1897,1493,819,,,,,,,,,,,,,,71,186,312,275,379,399,436,574,476,353,665,1480,1805,1004,477,139,1,54142
Ireland,2,,,4,,,8,,1,,1,,,2,1,,,,,,7,9,22,3,1,4,3,5,28,31,48,15,,,11,,38,,24,,,11,,,41,,,,3,35,0,45,22,,20,5,13,19,22,0,5,2,2,,40,43,43,2,7,35,11,693
Israel,53,97,73,70,2,111,731,133,143,223,163,84,261,396,417,437,319,282,961,1382,1131,1350,898,1980,1180,1643,1942,1263,1336,707,1269,1654,866,487,286,309,1185,1080,582,24,81,1208,1303,716,755,362,116,67,1291,1191,354,117,350,191,847,1135,1125,835,679,157,72,89,123,211,544,683,608,540,546,521,372,44698
Italy,158,232,883,1309,308,587,983,763,407,424,409,426,876,1207,1129,722,406,106,195,607,681,1090,1752,1005,1111,1018,714,521,694,607,481,135,253,307,273,208,200,183,179,196,158,206,187,208,201,334,286,519,56,25,241,221,239,564,451,162,423,515,214,101,102,286,203,83,138,247,758,726,312,178,202,32292
Jamaica,,,,,,,,,,,,,1,1,0,,,3,,,,1,,13,8,4,1,3,4,,,0,,,,5,3,,,4,,,,,,,,,10,10,,,,,,10,10,13,2,,1,,,1,,2,22,,19,3,10,161
Japan,,,8,223,314,408,757,1059,1239,668,859,338,221,204,1718,1162,324,605,552,529,651,777,677,636,1004,1676,1665,966,1086,995,1067,1347,1461,1706,2062,1981,1903,1949,2006,2296,2698,2948,2520,2135,1022,1244,859,831,1477,1270,497,435,446,483,404,398,481,517,693,628,403,268,205,252,307,329,330,441,654,911,699,65883
Jordan,0,,7,0,27,34,62,,44,4,30,15,55,39,33,55,92,126,48,238,130,68,66,87,184,372,337,464,593,279,386,404,1064,789,480,294,250,143,247,59,16,24,,1,5,19,75,77,248,63,133,160,132,281,169,49,53,181,161,235,90,215,176,75,197,233,232,368,187,233,157,11850
Katanga,,,,,,,,,,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,2,64,,72,121,139,20,,47,42,44,82,25,39,58,62,94,141,82,444,253,216,298,228,269,2942
Kenya,,,,,,,,,,,,,,,6,15,19,2,2,3,0,20,9,2,28,25,17,58,211,56,119,144,91,20,12,6,26,176,,23,42,14,,,30,,,58,,,12,,,,,,,10,,34,116,14,62,1,17,30,30,16,5,18,71,1667
Khmer Rouge (Cambodia)*,,,,,,,,,,,,,,,,,,,,,,2,6,2,2,2,,,,,,,,,,,,,2,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,4,6
Kurdistan Regional Government (Iraq)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1
Kuwait,,,,0,5,1,,,2,,44,,10,34,46,25,8,,104,97,54,111,30,,5,77,230,490,487,198,35,13,175,291,494,621,170,50,6,132,325,516,896,694,35,632,1189,478,46,216,245,67,23,43,2,12,5,288,5,9,85,113,31,73,692,339,164,111,95,51,62,11585
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,3,2,,,,,,,,,4,9,13,1,15,,61
Laos,,,,,1,2,1,1,10,2,3,4,19,15,7,7,14,14,4,6,32,17,14,43,1,37,21,134,26,,35,54,2,94,26,59,,29,18,,8,,,,,,,44,21,30,7,,,0,,4,,,7,26,,14,19,19,,7,,2,117,27,17,1118
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,12,14,0,0,0,4,3,13,3,25,12,4,9,51,46,11,15,27,9,5,5,3,27,29,20,30,12,399
Lebanon,5,,2,9,3,17,,40,74,11,,3,13,18,,34,72,80,1,,,7,49,41,28,11,3,8,2,19,37,9,36,93,192,71,,,,,,,40,40,18,42,27,9,7,4,4,,,,,1,,5,1,52,64,1,31,24,6,48,28,50,52,74,54,1670
